"Date,",Store_ID,Product_ID,Quantity_Sold,Revenue
29-12-2005,2,57,50,933
2011-02-06,47,54,25,1172
2022-11-09,26,19,54,1220
1997-01-29,10,31,44,591
2011-11-07,38,45,18,2496
2001-03-18,39,24,27,2720
2005-03-31,46,50,43,937
2010-08-17,37,47,29,413
2002-03-07,24,27,21,2498
2014-11-04,13,14,47,1585
2005-03-07,39,19,11,343
2002-02-12,24,56,26,2868
30-05-1999,10,5,58,2925
2001-05-05,2,7,24,2899
2001-11-31,11,6,51,2071
2019-04-10,5,14,7,1433
2013-12-17,5,6,14,2092
2004-03-26,32,50,7,2070
2014-05-29,2,1,49,1976
2009-01-03,9,52,60,343
24-07-2012,59,14,10,848
2019-07-21,34,57,4,320
2008-12-05,2,5,53,2220
2005-04-06,hqjslsdppho,50,35,1574
18-01-2007,33,54,31,979
2001-09-17,24,48,16,1187
2009-07-10,13,26,58,
2021-12-19,51,8,28,2370
2012-12-19,47,47,52,2230
2002-06-20,5,35,32,2886
2016-06-06,45,56,9,539
2023-04-16,36,34,7,2537
11-10-1997,35,59,38,210
2012-04-20,49,37,11,2152
1998-07-26,25,0,13,377
2020-08-04,3,54,8,2351
1999-06-17,43,47,37,1347
2018-08-18,56,44,51,278
2020-02-10,16,15,4,2138
2020-07-06,30,54,42,2848
2010-04-22,8,32,51,474
1998-01-14,2,15,36,1776
2019-10-05,9,18,40,2348
2016-01-27,27,12,54,2203
2008-05-03,15,50,26,2710
2022-02-06,1,24,12,1171
2019-09-06,34,21,30,515
2017-01-17,60,47,8,917
2012-10-06,36,0,0,2133
2007-03-18,47,26,52,2663
08-04-1997,40,50,5,2085
2011-04-29,45,18,33,2996
2010-08-27,16,8,25,1441
2014-11-06,3,58,26,2127
2022-05-16,53,46,12,2440
2022-02-25,15,46,1,1635
2014-11-18,9,2,54,2860
2000-06-23,31,49,6,400
2022-03-13,1,50,9,376
2020-03-05,53,24,36,2780
2018-05-20,37,30,28,1228
2012-10-07,20,4,57,1751
2003-02-20,uxlgzlrp,35,28,2522
2007-02-19,49,2,42,1229
2009-04-24,9,36,60,2288
2001-07-26,1,41,35,903
2012-02-07,33,15,50,503
2004-01-04,32,22,24,2678
2021-04-03,22,40,27,486
2007-03-04,42,29,31,1882
2004-08-12,7,53,1,1955
2001-02-15,34,24,26,1794
2005-10-16,60,cyor,40,144
2005-03-15,52,13,24,788
2000-12-26,22,27,9,2535
2007-09-24,24,31,14,1303
2013-02-15,0,38,,2579
2016-10-30,26,43,21,973
2017-06-22,49,14,22,1373
2009-06-17,50,50,37,2395
2017-01-24,43,11,27,578
2013-05-19,45,3,32,980
2001-04-20,53,31,19,512
2010-04-04,32,19,31,2343
2006-01-30,38,11,6,535
2019-12-22,21,zsxunxscs,34,263
2000-02-29,57,26,57,1662
2022-12-08,28,14,17,200
2000-08-02,34,55,29,2630
2022-05-10,40,35,19,2166
2003-07-17,0,47,,1301
1997-06-19,13,21,53,512
2015-01-02,32,38,32,2894
2016-01-01,37,35,26,2387
2009-02-19,18,52,7,329
2002-11-24,24,40,45,197
2012-09-06,0,59,43,2333
2021-08-08,53,53,17,1057
2002-07-08,35,30,39,2780
2013-03-21,4,39,58,267
13-12-1998,49,19,3,1047
2010-09-16,45,29,45,2572
2007-04-29,14,54,23,2363
1998-02-24,25,18,8,1054
2017-06-18,29,19,26,2996
2019-12-07,45,16,11,2360
2017-10-01,54,18,47,997
2011-07-29,24,11,8,2223
2017-05-15,8,17,47,847
2010-09-21,22,8,8,2323
1998-07-09,17,6,50,2613
2004-05-29,45,47,38,608
19-09-2001,26,13,28,1569
2008-11-03,22,30,7,1315
2016-07-25,35,27,17,1068
2000-12-15,45,2,49,225
2001-03-21,44,57,19,2613
26-11-2020,29,36,25,2576
2022-05-09,48,32,16,1078
2023-01-20,10,46,49,2171
2009-10-13,47,7,60,484
2008-09-10,44,6,13,2372
2003-06-24,50,33,39,1811
2013-01-23,22,25,15,1377
2003-02-22,0,14,20,2814
2000-05-24,8,7,2,1934
2003-01-16,0,28,42,2241
2001-12-28,16,53,38,2737
2018-08-24,1,11,28,351
2009-03-06,46,41,15,949
2010-10-29,32,36,22,2652
2001-04-28,60,14,12,2222
1999-12-07,55,13,10,539
2008-03-22,39,1,46,181
2023-08-04,43,31,13,2107
2021-05-23,37,2,21,2639
2019-09-16,1,28,1,1020
2005-11-20,55,60,26,926
1998-05-21,53,58,10,2044
2004-06-05,9,50,29,1938
2007-12-24,29,0,4,542
2012-09-03,14,21,55,1073
2017-01-17,26,5,25,2262
2006-03-23,57,47,37,635
2013-09-21,8,32,24,2883
1998-10-13,6,55,27,1420
2002-02-17,2,49,44,579
2000-08-03,37,4,29,2594
2006-04-07,53,54,23,1077
1999-08-08,43,47,50,1893
2001-07-21,48,24,50,xemrn
2005-11-25,19,2,18,1926
1999-08-11,30,60,31,505
2020-06-07,21,1,26,2891
2006-04-23,47,39,14,1168
2018-11-18,6,33,6,1863
2005-03-03,5,50,60,615
2018-06-15,40,54,11,746
2009-04-27,17,15,24,2802
1999-10-08,4,31,44,2214
